,description,url,City/civil parish,m2,Floor,"Price, m2",Price
0,"Telpas Pērnavas ielā 10. Помещение под офис или учебный класс
Telpa",https://ss.com/msg/en/real-estate/offices/jelgava-and-reg/jelgava/fmxhd.html,Jelgava,50,1/5,4 €,200  €/mon.
1,"Izīrē kabinetu 30m2, Jelgavā. 
Telpā ir ūdens padeve ar kanalizācij",https://ss.com/msg/en/real-estate/offices/jelgava-and-reg/jelgava/gbphi.html,Jelgava,30,2/3,5 €,150  €/mon.
2,"Iznomā biroja telpas, sastāv no pieņemamās telpas/gaiteņa un 3 kabin",https://ss.com/msg/en/real-estate/offices/jelgava-and-reg/jelgava/bjbflk.html,Jelgava,53,4/4,5.02 €,266  €/mon.
3,"Izīrē telpas Jūgenstila namā -1 stāvā, ieeja atsevišķa no Zemgales p",https://ss.com/msg/en/real-estate/offices/jelgava-and-reg/jelgava/bkifk.html,Jelgava,80,1/4,6.24 €,499  €/mon.
4,"Pārdod vai izīrē telpas Satiksmes ielā 33, Jelgava. Blakus liels aut",https://ss.com/msg/en/real-estate/offices/jelgava-and-reg/jelgava/cljon.html,Jelgava,25,1/9,740 €,"18,500  €"
5,"Izīrē mēbelētu biroja telpu ēkas 4.stāvā, telpa aprīkota ar kondicio",https://ss.com/msg/en/real-estate/offices/jelgava-and-reg/jelgava/gjhnc.html,Jelgava,21,4/6,4 €,84  €/mon.
6,"Iznoma komerctelpas Raf rajonā ar kopējo platību 74.60m2.
Telpas pi",https://ss.com/msg/en/real-estate/offices/jelgava-and-reg/jelgava/cxdhfx.html,Jelgava,75,1/9,4.93 €,370  €/mon.
7,"Pieejamas 58 m2 plašas, gaišas un mājīgas telpas Jelgavas centrā. Ēk",https://ss.com/msg/en/real-estate/offices/jelgava-and-reg/jelgava/cbehe.html,Jelgava,58,5/6,3 €,174  €/mon.
8,"Piedāvājam ofisa/biroja telpas Jelgavas centrā, Barona Biznesa centr",https://ss.com/msg/en/real-estate/offices/jelgava-and-reg/jelgava/ixbjf.html,Jelgava,80,2/2,2.50 €,200  €/mon.
9,Gaiša mājīga ofisa telpa 60 m2 Jelgavas centrā. Ēkā ir pieejams lift,https://ss.com/msg/en/real-estate/offices/jelgava-and-reg/jelgava/aghpe.html,Jelgava,60,5/6,3 €,180  €/mon.
10,Biroja telpa 176m2. Mājīgas un siltas telpas. Birojā ir ūdens ievads,https://ss.com/msg/en/real-estate/offices/jelgava-and-reg/jelgava/dfkpi.html,Jelgava,176,5/6,3 €,528  €/mon.
11,"Pieejamas 40m2 gaišas mājīgas ofisa telpas Barona Biznesa centrā, Je",https://ss.com/msg/en/real-estate/offices/jelgava-and-reg/jelgava/amnih.html,Jelgava,40,4/6,3 €,120  €/mon.
12,Iznomājam telpas ēkas pirmajā stāvā ar divām ieejām no ielas puses. ,https://ss.com/msg/en/real-estate/offices/jelgava-and-reg/jelgava/hmhmi.html,Jelgava,81,1/3,10.90 €,883  €/mon.
13,"SIA ""Novators"" iznomā telpas 148, 3 m2 platībā. Telpas atrodas ēkas ",https://ss.com/msg/en/real-estate/offices/jelgava-and-reg/jelgava/hjelm.html,Jelgava,148,2/2,1 €,148  €/mon.
14,"Iznomā modernas biroja telpas Biroja ēkā L3A. 
Telpas pieejamas ēka",https://ss.com/msg/en/real-estate/offices/jelgava-and-reg/jelgava/hebho.html,Jelgava,221,5/6,8 €,"1,768  €/mon."
15,Barona biznesa centrs iznomā ofisa/biroja telpas Jelgavas centrā. Te,https://ss.com/msg/en/real-estate/offices/jelgava-and-reg/jelgava/akmei.html,Jelgava,58,4/6,2.50 €,145  €/mon.
16,Tiek iznomāta gaiša un moderna biroja telpa ēkas 2.stāvā ar platību ,https://ss.com/msg/en/real-estate/offices/jelgava-and-reg/ozolnieku-pag/jekxe.html,Ozolnieku pag.Ozolnieki,40,2/2,7.50 €,300  €/mon.
17,"Izīrē kabinetu, vienu telpu ar ūdens pieslēgumu. WC gaitenī. Telpā n",https://ss.com/msg/en/real-estate/offices/jelgava-and-reg/jelgava/dxjkj.html,Jelgava,20,2/3,7 €,140  €/mon.
18,"SIA ""Novators"" iznomā ēkas 2.stāva telpu birojam 35 m2 platībā. 

",https://ss.com/msg/en/real-estate/offices/jelgava-and-reg/jelgava/bcdnjh.html,Jelgava,35,2/2,4.20 €,147  €/mon.
19,"Biroja telpas sākot no 10 m2.

Tikko pēc remonta pieejami kabineti",https://ss.com/msg/en/real-estate/offices/jelgava-and-reg/jelgava/leffm.html,Jelgava,12,1/3,8.33 €,100  €/mon.
20,"Pieņēmam rezervāciju uz skaistuma salona vai ofisa, jaunajā biznesa ",https://ss.com/msg/en/real-estate/offices/jelgava-and-reg/jelgava/blfop.html,Jelgava,30,2/3,5 €,150  €/mon.
21,"No 1. novembra būs pieejama studio tipa telpa ar sanmezglu. 
Kabine",https://ss.com/msg/en/real-estate/offices/jelgava-and-reg/jelgava/lchfe.html,Jelgava,30,2/3,5.67 €,170  €/mon.
22,"Сдаётся коммерческое помещение 55, 4 м2, в центре Озолниеках, 1 этаж",https://ss.com/msg/en/real-estate/offices/jelgava-and-reg/ozolnieku-pag/bhhkbi.html,Ozolnieku pag.Ozolnieki,55,1/2,8.55 €,470  €/mon.
23,Its Autocentrs īzīrē biroja telpas ar biroja mēbelēm ar kopējo platī,https://ss.com/msg/en/real-estate/offices/jelgava-and-reg/jelgava/chpid.html,Jelgava,20,2/2,4.50 €,90  €/mon.
24,Veicam tirdzniecības vietu vai ofisam rezervāciju jaunajā biznesa kv,https://ss.com/msg/en/real-estate/offices/jelgava-and-reg/jelgava/annoo.html,Jelgava,35,1/3,5 €,175  €/mon.
25,"Iznomā telpas Jelgavas centrā, Mātera ielā, 2.stāvā. 
Telpu platība",https://ss.com/msg/en/real-estate/offices/jelgava-and-reg/jelgava/cgjcf.html,Jelgava,100,2/3,3 €,300  €/mon.
26,"SIA ""Novators"" iznomā ēkas 2.stāva telpu birojam 70 m2 platībā. 

",https://ss.com/msg/en/real-estate/offices/jelgava-and-reg/jelgava/feoek.html,Jelgava,70,2/2,4.20 €,294  €/mon.
27,"SIA ""Novators"" iznomā biroja telpas Lāču iela 42F, Jelgavā, ēkas 2.s",https://ss.com/msg/en/real-estate/offices/jelgava-and-reg/jelgava/bkgjhh.html,Jelgava,95,2/2,1.51 €,143  €/mon.
28,"Pieņēmam rezervāciju uz noliktava, skaistuma salona vai ofisa, inter",https://ss.com/msg/en/real-estate/offices/jelgava-and-reg/jelgava/mhxhm.html,Jelgava,15,1/3,4 €,60  €/mon.
29,"Izīrējam telpas 1.stāvā. Telpas ir labā stāvoklī. Nomas maksa Eur 2,",https://ss.com/msg/en/real-estate/offices/jelgava-and-reg/jelgava/bcgob.html,Jelgava,530,1/5,2.50 €,"1,325  €/mon."
30,Biroja/ofisa telpas Jelgavas centrā- Barona Biznesa centrā. Telpas i,https://ss.com/msg/en/real-estate/offices/jelgava-and-reg/jelgava/chpep.html,Jelgava,83,4/5,2.51 €,208  €/mon.
31,"Pieejams kabinets Jelgavas centrā 29, 1 m2. Pieeja kabinetam darba d",https://ss.com/msg/en/real-estate/offices/jelgava-and-reg/jelgava/bmdxe.html,Jelgava,29,2/3,2.52 €,73  €/mon.
32,Сдается офисное помещение 15 м2 в новом бизнес квартале на 3 этаже. ,https://ss.com/msg/en/real-estate/offices/jelgava-and-reg/jelgava/adjno.html,Jelgava,15,3/3,6.67 €,100  €/mon.
33,"Telpa projektā ""Raiņa kvartāls 29""

Pieejama telpa 2. stāvā platīb",https://ss.com/msg/en/real-estate/offices/jelgava-and-reg/jelgava/cnjbn.html,Jelgava,24,2/3,9.83 €,236  €/mon.
34,Сдается офисное помещение 15 м2 в новом бизнес квартале на 2 этаже. ,https://ss.com/msg/en/real-estate/offices/jelgava-and-reg/jelgava/mhxhb.html,Jelgava,15,2/3,5.67 €,85  €/mon.
35,"Izīrē mēbeletu biroju telpu, mēbeles iespējams komplektēt pēc nomnie",https://ss.com/msg/en/real-estate/offices/jelgava-and-reg/jelgava/hplox.html,Jelgava,72,1/2,2.50 €,180  €/mon.
36,"Pīedāvājam nomā telpas , atrodas Latvijas Keramika bijusī ofisa ēka ",https://ss.com/msg/en/real-estate/offices/jelgava-and-reg/jelgava/feond.html,Jelgava,42,1/1,7.26 €,305  €/mon.
